,Unemployment Rate
2003-08-03 00:00:00+00:00,6.1
2003-09-07 00:00:00+00:00,6.1
2003-10-05 00:00:00+00:00,6.0
2003-12-07 00:00:00+00:00,5.7
2004-01-04 00:00:00+00:00,5.7
2004-03-07 00:00:00+00:00,5.8
2004-04-04 00:00:00+00:00,5.6
2004-06-06 00:00:00+00:00,5.6
2004-07-04 00:00:00+00:00,5.5
2004-09-05 00:00:00+00:00,5.4
2004-10-03 00:00:00+00:00,5.5
2004-11-07 00:00:00+00:00,5.4
2004-12-05 00:00:00+00:00,5.4
2005-02-06 00:00:00+00:00,5.4
2005-03-06 00:00:00+00:00,5.2
2005-04-03 00:00:00+00:00,5.2
2005-06-05 00:00:00+00:00,5.0
2005-07-03 00:00:00+00:00,5.0
2005-08-07 00:00:00+00:00,4.9
2005-09-04 00:00:00+00:00,5.0
2005-11-06 00:00:00+00:00,5.0
2005-12-04 00:00:00+00:00,4.9
2006-02-05 00:00:00+00:00,4.8
2006-03-05 00:00:00+00:00,4.7
2006-05-07 00:00:00+00:00,4.6
2006-06-04 00:00:00+00:00,4.6
2006-08-06 00:00:00+00:00,4.7
2006-09-03 00:00:00+00:00,4.5
2006-11-05 00:00:00+00:00,4.5
2006-12-03 00:00:00+00:00,4.4
2007-01-07 00:00:00+00:00,4.6
2007-02-04 00:00:00+00:00,4.5
2007-03-04 00:00:00+00:00,4.4
2007-05-06 00:00:00+00:00,4.4
2007-06-03 00:00:00+00:00,4.6
2007-08-05 00:00:00+00:00,4.6
2007-10-07 00:00:00+00:00,4.7
2007-11-04 00:00:00+00:00,4.7
2008-01-06 00:00:00+00:00,5.0
2008-02-03 00:00:00+00:00,4.9
2008-04-06 00:00:00+00:00,5.0
2008-05-04 00:00:00+00:00,5.4
2008-07-06 00:00:00+00:00,5.8
2008-08-03 00:00:00+00:00,6.1
2008-09-07 00:00:00+00:00,6.1
2008-10-05 00:00:00+00:00,6.5
2008-12-07 00:00:00+00:00,7.3
2009-01-04 00:00:00+00:00,7.8
2009-04-05 00:00:00+00:00,9.0
2009-05-03 00:00:00+00:00,9.4
2009-06-07 00:00:00+00:00,9.5
2009-07-05 00:00:00+00:00,9.5
2009-09-06 00:00:00+00:00,9.8
2009-10-04 00:00:00+00:00,10.0
2009-12-06 00:00:00+00:00,9.9
2010-01-03 00:00:00+00:00,9.8
2010-02-07 00:00:00+00:00,9.8
2010-03-07 00:00:00+00:00,9.9
2010-04-04 00:00:00+00:00,9.9
2010-06-06 00:00:00+00:00,9.4
2010-07-04 00:00:00+00:00,9.4
2010-09-05 00:00:00+00:00,9.5
2010-10-03 00:00:00+00:00,9.4
2010-11-07 00:00:00+00:00,9.8
2010-12-05 00:00:00+00:00,9.3
2011-02-06 00:00:00+00:00,9.0
2011-03-06 00:00:00+00:00,9.0
2011-04-03 00:00:00+00:00,9.1
2011-06-05 00:00:00+00:00,9.1
2011-07-03 00:00:00+00:00,9.0
2011-08-07 00:00:00+00:00,9.0
2011-09-04 00:00:00+00:00,9.0
2011-11-06 00:00:00+00:00,8.6
2011-12-04 00:00:00+00:00,8.5
2012-02-05 00:00:00+00:00,8.3
2012-03-04 00:00:00+00:00,8.2
2012-05-06 00:00:00+00:00,8.2
2012-06-03 00:00:00+00:00,8.2
2012-08-05 00:00:00+00:00,8.1
2012-10-07 00:00:00+00:00,7.8
2012-11-04 00:00:00+00:00,7.7
2013-01-06 00:00:00+00:00,8.0
2013-02-03 00:00:00+00:00,7.7
2013-03-03 00:00:00+00:00,7.5
2013-04-07 00:00:00+00:00,7.6
2013-05-05 00:00:00+00:00,7.5
2013-07-07 00:00:00+00:00,7.3
2013-08-04 00:00:00+00:00,7.2
2013-10-06 00:00:00+00:00,7.2
2013-11-03 00:00:00+00:00,6.9
2014-01-05 00:00:00+00:00,6.6
2014-04-06 00:00:00+00:00,6.2
2014-05-04 00:00:00+00:00,6.3
2014-07-06 00:00:00+00:00,6.2
2014-08-03 00:00:00+00:00,6.1
2014-09-07 00:00:00+00:00,5.9
2014-10-05 00:00:00+00:00,5.7
2014-12-07 00:00:00+00:00,5.6
2015-01-04 00:00:00+00:00,5.7
2015-04-05 00:00:00+00:00,5.4
2015-05-03 00:00:00+00:00,5.6
2015-06-07 00:00:00+00:00,5.3
2015-07-05 00:00:00+00:00,5.2
2015-09-06 00:00:00+00:00,5.0
2015-10-04 00:00:00+00:00,5.0
2015-12-06 00:00:00+00:00,5.0
2016-01-03 00:00:00+00:00,4.8
2016-02-07 00:00:00+00:00,4.9
2016-03-06 00:00:00+00:00,5.0
2016-04-03 00:00:00+00:00,5.1
2016-06-05 00:00:00+00:00,4.9
2016-07-03 00:00:00+00:00,4.8
2016-08-07 00:00:00+00:00,4.9
2016-09-04 00:00:00+00:00,5.0
2016-11-06 00:00:00+00:00,4.7
2016-12-04 00:00:00+00:00,4.7
2017-02-05 00:00:00+00:00,4.6
2017-03-05 00:00:00+00:00,4.4
2017-05-07 00:00:00+00:00,4.4
2017-06-04 00:00:00+00:00,4.3
2017-08-06 00:00:00+00:00,4.4
2017-09-03 00:00:00+00:00,4.3
2017-11-05 00:00:00+00:00,4.2
2017-12-03 00:00:00+00:00,4.1
2018-01-07 00:00:00+00:00,4.0
2018-02-04 00:00:00+00:00,4.1
2018-03-04 00:00:00+00:00,4.0
2018-05-06 00:00:00+00:00,3.8
2018-06-03 00:00:00+00:00,4.0
2018-08-05 00:00:00+00:00,3.8
2018-10-07 00:00:00+00:00,3.8
2018-11-04 00:00:00+00:00,3.8
2019-01-06 00:00:00+00:00,4.0
2019-02-03 00:00:00+00:00,3.8
2019-03-03 00:00:00+00:00,3.8
2019-04-07 00:00:00+00:00,3.6
2019-05-05 00:00:00+00:00,3.7
2019-07-07 00:00:00+00:00,3.7
2019-08-04 00:00:00+00:00,3.7
2019-10-06 00:00:00+00:00,3.6
2019-11-03 00:00:00+00:00,3.6
2020-01-05 00:00:00+00:00,3.5
2020-04-05 00:00:00+00:00,14.7
2020-05-03 00:00:00+00:00,13.2
2020-06-07 00:00:00+00:00,11.0
2020-07-05 00:00:00+00:00,10.2
2020-09-06 00:00:00+00:00,7.9
2020-10-04 00:00:00+00:00,6.9
2020-12-06 00:00:00+00:00,6.7
2021-01-03 00:00:00+00:00,6.3
2021-02-07 00:00:00+00:00,6.2
2021-03-07 00:00:00+00:00,6.1
2021-04-04 00:00:00+00:00,6.1
2021-06-06 00:00:00+00:00,5.9
2021-07-04 00:00:00+00:00,5.4
2021-09-05 00:00:00+00:00,4.8
2021-10-03 00:00:00+00:00,4.5
2021-11-07 00:00:00+00:00,4.2
2021-12-05 00:00:00+00:00,3.9
2022-02-06 00:00:00+00:00,3.8
2022-03-06 00:00:00+00:00,3.6
2022-04-03 00:00:00+00:00,3.6
2022-06-05 00:00:00+00:00,3.6
2022-07-03 00:00:00+00:00,3.5
2022-08-07 00:00:00+00:00,3.7
2022-09-04 00:00:00+00:00,3.5
2022-11-06 00:00:00+00:00,3.6
2022-12-04 00:00:00+00:00,3.5
2023-02-05 00:00:00+00:00,3.6
2023-03-05 00:00:00+00:00,3.5
2023-05-07 00:00:00+00:00,3.7
